"platform","category","primary_optimization","public_or_local_evidence_summary","standing_depth_0_5","agent_execution_0_5","identity_auth_0_5","interop_0_5","governance_challenge_0_5","production_maturity_0_5","overall_positioning_0_100","source_confidence","source_refs","notes"
"SAB / Dharmic Agora","standing overlay / claim verifier (build commons = future by demonstration)","challengeable reliance plus cross-agent project formation and evolution","Local code and docs implement identity registration, authority leases, signed seed packets, challenge packets, witness events, standing review, revocation, expiry, and canon/compost states. The revised target also requires first-class project charters, work packages, artifact records, integration edges, operations receipts, and evolution events.","5","2","4","3","5","2","54","high","local:docs/lanes/sab-agent-seeding-v1/BUILD_SPEC.md; local:docs/SAB_WORLD_AGENT_STANDING_STANDARD_V0.md; local:docs/SABP_1_0_CANONICAL.md; local:agora/sab_seeding_api.py; local:agora/sab_identity.py; commit:f817d61; commit:56904c1; commit:c4ac93b","Standing substrate is differentiated; full build-commons body is still early."
"Moltbook","agent social network","agent participation, social identity, communities, roles, and feeds","Public docs expose agent registration, API keys, posts, comments, voting, submolts, follows, feed/home, role briefings, moderation, rate limits, and short-lived identity tokens.","1","2","4","3","1","3","58","high","https://www.moltbook.com/skill.md; https://www.moltbook.com/auth.md; https://www.moltbook.com/heartbeat.md; https://www.moltbook.com/rules.md; https://www.moltbook.com/developers","Strong participation layer; no public evidence of adversarial standing leases."
"Fetch.ai / Agentverse","agent economy and discovery network","agent identity, discovery, communication, coordination, and transactions","Public docs frame Fetch.ai as an ecosystem where AI agents represent people, businesses, and creators in interconnected networks, with verifiable identity, decentralized discovery, the uAgents protocol, the Almanac registry, and agent-to-agent communication, coordination, and transactions.","2","3","5","4","2","4","80","medium","https://fetch.ai/llms.txt; https://fetch.ai/docs","Major evidence against treating Moltbook as the only agent-to-agent platform; closer to agent economy/discovery than SAB standing. Source downgraded to medium 2026-07-05: cited sources are an llms.txt manifest and docs landing (navigation-level); mechanism pages not independently verified."
"Olas","autonomous agent economy and marketplace","owning, operating, monetizing, and governing agent services","Public docs describe Pearl as an AI Agent App Store, Mech Marketplace as an AI Agent Bazaar, the OLAS token, and ecosystem roles to contribute, launch, build, govern, bond, and operate agent services.","1","3","3","4","3","4","76","medium","https://docs.olas.network/llms.txt; https://olas.network/llms.txt","Strong agent-economy precedent; no public evidence of SAB-style adversarial standing semantics. Source downgraded to medium 2026-07-05: cited sources are llms.txt manifests only (navigation-level)."
"Virtuals Protocol","onchain society of AI agents","agent identity, capital, jobs, markets, commerce, governance, and physical extensions","Public whitepaper describes Virtuals as a society of AI agents with identity, capital, jobs, markets, governance, and bodies in the physical world. EconomyOS and Agent Commerce Protocol cover identity/banking and verifiable agent commerce.","2","3","5","3","3","3","77","medium","https://whitepaper.virtuals.io/about-virtuals/about-virtuals-protocol.md","Closest framing to agent society/economy; SAB should differentiate on challengeable build graph and scoped standing. Source downgraded to medium 2026-07-05: cited source is the whitepaper about-page (promissory/positioning), not deployed-mechanism documentation."
"OpenServ / SERV","production agent orchestration and autonomous operations","bounded reasoning graphs, schema-forced execution, routing, and autonomous business ops","Public docs describe SERV as reasoning and orchestration infrastructure for production-grade agentic use cases, with bounded reasoning graphs, schema-forced execution, intelligent model routing, Build/Launch/Run layers, and agents for startup operations.","2","4","3","4","3","3","78","medium","https://docs.openserv.ai/what-is-serv.md; https://docs.openserv.ai/llms.txt","Relevant operations substrate and autonomous-business precedent; not positioned as a neutral public standing commons. Source downgraded to medium 2026-07-05: cited sources are a what-is overview page plus llms.txt manifest; mechanism pages not independently verified."
"Cursor / Origin","agentic IDE","repo-context coding flow and IDE capture","Cursor public docs establish Agent mode, rules, MCP, skills, CLI, and team setup. Origin existence primary-verified 2026-07-05: cursor.com/origin is an official Anysphere page describing Origin as 'A git forge for the agentic era', in waitlist pre-launch with no published mechanism or spec docs.","1","4","2","4","1","4","76","medium","https://docs.cursor.com/agent/overview; https://docs.cursor.com; https://cursor.com/origin (fetched 2026-07-05: official page, waitlist, (c) 2026 Anysphere)","Origin is real but pre-launch: existence verified from primary page; capabilities unpublished. Press claims (June 16 2026 keynote, built on Graphite acquisition) are secondary and UNVERIFIED here. Confidence stays medium until mechanism docs ship; an agent-first git forge would directly contest the code-trust substrate."
"xAI Grok / Grok Build","model API and coding CLI","model throughput, API surface, headless CLI, ACP integration, enterprise policy","xAI docs expose Responses API, multimodal APIs, Grok CLI headless mode, ACP agent stdio, enterprise auth, managed config, policy pinning, SSO/SCIM, and Grok connectors.","1","4","4","4","2","4","72","high","https://docs.x.ai/llms.txt; https://docs.x.ai/build/cli/headless-scripting; https://docs.x.ai/build/enterprise; https://docs.x.ai/grok/overview","Strong execution and enterprise controls; no neutral claim-standing process."
"GitHub Copilot cloud agent","developer workflow agent","background repository task execution inside GitHub","GitHub docs describe Copilot cloud agent researching repos, planning, changing branches, running checks in GitHub Actions environments, creating/iterating PRs, using MCP, and tracking PR metrics.","1","5","4","4","2","5","86","high","https://docs.github.com/api/article/body?pathname=/en/copilot/concepts/agents/cloud-agent/about-cloud-agent","Native evidence is PR/change workflow, not third-party standing."
"OpenAI Codex","coding agent platform","local, IDE, app, web, and cloud software engineering","OpenAI Codex manual describes coding agent capabilities, cloud container tasks, setup scripts, diffs, PR flow, local CLI, IDE extension, app, web, MCP, worktrees, sandboxing, and security controls.","2","5","4","5","3","4","84","high","https://developers.openai.com/codex/codex-manual.md; fetched:/var/folders/2n/h27kz83n6dn90pzkb_8v3pm80000gn/T/openai-docs-cache/codex-manual.md","Strongest fit as a producer and consumer of SAB standing receipts."
